tab 	specimens
citations	dir_comp	dir_dang	dir_dec	dir_inc	dir_mad_free	dir_n_comps	dir_n_measurements	dir_tilt_correction	experiments	geologic_classes	geologic_types	instrument_codes	int_corr	lithologies	meas_step_max	meas_step_min	meas_step_unit	method_codes	result_quality	sample	software_packages	specimen
This study	HT	0.0	254.1	-10.6	2.3	2	12	100.0	BRa.23a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 01:50:28	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.23	pmagpy-4.2.113: demag_gui	BRa.23a
This study	HT	0.0	220.9	41.7	1.6	1	12	0.0	BRa.24a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:46:02	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.24	pmagpy-4.2.113: demag_gui	BRa.24a
This study	HT	0.0	253.6	4.2	1.6	1	12	100.0	BRa.24a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:46:02	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.24	pmagpy-4.2.113: demag_gui	BRa.24a
This study	MT	12.7	234.4	40.6	14.9	2	18	0.0	BRa.25a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:47:12	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.25	pmagpy-4.2.113: demag_gui	BRa.25a
This study	HT	0.0	222.2	31.6	1.5	2	12	0.0	BRa.25a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:47:12	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.25	pmagpy-4.2.113: demag_gui	BRa.25a
This study	MT	12.7	256.7	-5.6	14.9	2	18	100.0	BRa.25a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:47:12	u	Sandstone	923.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.25	pmagpy-4.2.113: demag_gui	BRa.25a
This study	HT	0.0	244.5	-0.2	1.5	2	12	100.0	BRa.25a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:47:12	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.25	pmagpy-4.2.113: demag_gui	BRa.25a
This study	HT	0.0	212.0	25.5	2.0	2	7	0.0	BRa.26a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:48:25	u	Sandstone	962.0	949.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.26	pmagpy-4.2.113: demag_gui	BRa.26a
This study	MT	9.6	226.7	24.6	11.6	2	17	0.0	BRa.26a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:48:25	u	Sandstone	918.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.26	pmagpy-4.2.113: demag_gui	BRa.26a
This study	HT	0.0	235.9	6.5	2.0	2	7	100.0	BRa.26a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:48:25	u	Sandstone	962.0	949.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-TILT	g	BRa.26	pmagpy-4.2.113: demag_gui	BRa.26a
This study	MT	9.6	239.3	-6.4	11.6	2	17	100.0	BRa.26a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:48:25	u	Sandstone	918.0	573.0	K	LP-DIR-T:DE-BFL:DA-DIR-TILT	g	BRa.26	pmagpy-4.2.113: demag_gui	BRa.26a
This study	MT	11.6	246.4	35.8	5.1	2	15	0.0	BRa.27a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:00:06	u	Sandstone	903.0	473.0	K	LP-DIR-T:DE-BFL:DA-DIR-GEO	g	BRa.27	pmagpy-4.2.113: demag_gui	BRa.27a
This study	HT	0.0	225.7	41.6	3.2	2	12	0.0	BRa.27a:LP-DIR-T	Sedimentary	Sediment Layer	hargrave 2018-11-14 02:00:06	u	Sandstone	962.0	933.0	K	LP-DIR-T:DE-BFL-A:DA-DIR-GEO	g	BRa.27	pmagpy-4.2.113: demag_gui	BRa.27a
